ID,Name,Description,Contributor,Citation,Examples_Count
glossa5037,Two types of quantifier particles: Quantifier-phrase internal vs. heads on the clausal spine,,"Szabolcsi, Anna","Szabolcsi, Anna. 2018. Two types of quantifier particles: Quantifier-phrase internal vs. heads on the clausal spine. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",81
glossa5038,The interpretation of the mass-count distinction across languages and populations: Introduction,,"Lin, Jing and Hacohen, Aviya and Schaeffer, Jeannette","Lin, Jing and Hacohen, Aviya and Schaeffer, Jeannette. 2018. The interpretation of the mass-count distinction across languages and populations: Introduction. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",0
glossa5039,Prosodic focus in English vs. French: A scope account,,"Vander Klok, Jozina and Goad, Heather and Wagner, Michael","Vander Klok, Jozina and Goad, Heather and Wagner, Michael. 2018. Prosodic focus in English vs. French: A scope account. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",28
glossa5040,Showcasing the interaction of generative and emergent linguistic knowledge with case marker omission in spoken Japanese,,"Heffernan, Kevin and Imanishi, Yusuke and Honda, Masaru","Heffernan, Kevin and Imanishi, Yusuke and Honda, Masaru. 2018. Showcasing the interaction of generative and emergent linguistic knowledge with case marker omission in spoken Japanese. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",9
glossa5041,Effects of linguistic context on the acceptability of co-speech gestures,,"Zlogar, Christina and Davidson, Kathryn","Zlogar, Christina and Davidson, Kathryn. 2018. Effects of linguistic context on the acceptability of co-speech gestures. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",0
glossa5042,-Able adjectives and the syntax of psych verbs,,"Alexiadou, Artemis","Alexiadou, Artemis. 2018. -Able adjectives and the syntax of psych verbs. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",50
glossa5043,The acquisition of adjunct control is colored by the task,,"Gerard, Juliana and Lidz, Jeffrey and Zuckerman, Shalom and Pinto, Manuela","Gerard, Juliana and Lidz, Jeffrey and Zuckerman, Shalom and Pinto, Manuela. 2018. The acquisition of adjunct control is colored by the task. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",0
glossa5044,"Missing objects in Hebrew: Argument ellipsis, not VP ellipsis",,"Landau, Idan","Landau, Idan. 2018. Missing objects in Hebrew: Argument ellipsis, not VP ellipsis. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",96
glossa5045,An experimental investigation of the binding options of demonstrative pronouns in German,,"Hinterwimmer, Stefan and Brocher, Andreas","Hinterwimmer, Stefan and Brocher, Andreas. 2018. An experimental investigation of the binding options of demonstrative pronouns in German. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",34
glossa5046,Why are verbal nouns more verbal than finite verbs? New insights into the interpretation of the P200 verbal signature,,"Błaszczak, Joanna and Czypionka, Anna and Klimek-Jankowska, Dorota","Błaszczak, Joanna and Czypionka, Anna and Klimek-Jankowska, Dorota. 2018. Why are verbal nouns more verbal than finite verbs? New insights into the interpretation of the P200 verbal signature. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",18
glossa5047,Missing inflectional features and missing exponents in DP-internal agreement asymmetries,,"Bonet, Eulàlia","Bonet, Eulàlia. 2018. Missing inflectional features and missing exponents in DP-internal agreement asymmetries. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",42
glossa5048,Antepenultimate stress in Spanish: In defense of syllable weight and grammatically-informed analogy,,"Fuchs, Martín","Fuchs, Martín. 2018. Antepenultimate stress in Spanish: In defense of syllable weight and grammatically-informed analogy. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",0
glossa5049,Functional motivations behind direct object fronting in written Swedish: A corpus-distributional account,,"Hörberg, Thomas","Hörberg, Thomas. 2018. Functional motivations behind direct object fronting in written Swedish: A corpus-distributional account. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",18
glossa5050,"Locality, control, and non-adjoined islands",,"Fischer, Silke","Fischer, Silke. 2018. Locality, control, and non-adjoined islands. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",57
glossa5051,Scope marking and prosody in Hungarian,,"Gyuris, Beáta and Jackson, Scott R.","Gyuris, Beáta and Jackson, Scott R. 2018. Scope marking and prosody in Hungarian. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",25
glossa5052,Movement and structure effects on Universal 20 word order frequencies: A quantitative study,,"Merlo, Paola and Ouwayda, Sarah","Merlo, Paola and Ouwayda, Sarah. 2018. Movement and structure effects on Universal 20 word order frequencies: A quantitative study. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",4
glossa5053,SyMiLa and the Atlas linguistique de la France: A tool for the study of Gallo-Romance syntax,,"Dagnac, Anne","Dagnac, Anne. 2018. SyMiLa and the Atlas linguistique de la France: A tool for the study of Gallo-Romance syntax. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",54
glossa5054,Modulation of the following segment effect on English coronal stop deletion by syntactic boundaries,,"Tamminga, Meredith","Tamminga, Meredith. 2018. Modulation of the following segment effect on English coronal stop deletion by syntactic boundaries. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",0
glossa5055,"Datives, data and dialect syntax in American English",,"Wood, Jim and Zanuttini, Raffaella","Wood, Jim and Zanuttini, Raffaella. 2018. Datives, data and dialect syntax in American English. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",9
glossa5056,From additivity to mirativity: The Cantonese sentence final particle tim1,,"Winterstein, Grégoire and Lai, Regine and Lee, Daniel Tsz-hin and Luk, Zoe Pei-sui","Winterstein, Grégoire and Lai, Regine and Lee, Daniel Tsz-hin and Luk, Zoe Pei-sui. 2018. From additivity to mirativity: The Cantonese sentence final particle tim1. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",52
glossa5057,Indicating verbs as typologically unique constructions: Reconsidering verb ‘agreement’ in sign languages,,"Schembri, Adam and Cormier, Kearsy and Fenlon, Jordan","Schembri, Adam and Cormier, Kearsy and Fenlon, Jordan. 2018. Indicating verbs as typologically unique constructions: Reconsidering verb ‘agreement’ in sign languages. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",5
glossa5058,The square of disposition,,"Cohen, Ariel","Cohen, Ariel. 2018. The square of disposition. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",2
glossa5059,What do speaker judgments tell us about theories of quantifier scope in German?,,"Radó, Janina and Bott, Oliver","Radó, Janina and Bott, Oliver. 2018. What do speaker judgments tell us about theories of quantifier scope in German?. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",27
glossa5060,Case/agreement matching: Evidence for a cognitive bias,,"Sheehan, Michelle and Paciorek, Albertyna and Williams, John N.","Sheehan, Michelle and Paciorek, Albertyna and Williams, John N. 2018. Case/agreement matching: Evidence for a cognitive bias. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",35
glossa5061,Self-embedding and complexity in oral registers,,"Verhoeven, Elisabeth and Lehmann, Nico","Verhoeven, Elisabeth and Lehmann, Nico. 2018. Self-embedding and complexity in oral registers. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",39
glossa5062,General introduction: A comparative perspective on probabilistic variation in grammar,,"Grafmiller, Jason and Szmrecsanyi, Benedikt and Röthlisberger, Melanie and Benedikt, Heller","Grafmiller, Jason and Szmrecsanyi, Benedikt and Röthlisberger, Melanie and Benedikt, Heller. 2018. General introduction: A comparative perspective on probabilistic variation in grammar. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",0
glossa5063,Long-distance extraction attraction: A production-based account of an unexpected cross-linguistic structure,,"McDaniel, Dana","McDaniel, Dana. 2018. Long-distance extraction attraction: A production-based account of an unexpected cross-linguistic structure. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",24
