ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Examples_Count,Examples_Count_Log
halh1238,Halh Mongolian,,48.32397,106.28874,halh1238,,176,5.170483995038151
nort3139,Levantine Arabic,,34.1709,36.0468,nort3139,,42,3.7376696182833684
dink1262,Dinka,,,,dink1262,,105,4.653960350157523
kaqc1270,Kaqchikel,,14.4662,-90.9881,kaqc1270,,68,4.219507705176107
ukra1253,Ukrainian,,49.796,29.945,ukra1253,,11,2.3978952727983707
mace1250,Macedonian,,41.5957,21.7932,mace1250,,49,3.8918202981106265
oldh1241,Old High German (ca. 750-1050),,52.0,10.0,oldh1241,,5,1.6094379124341003
olde1238,Old English (ca. 450-1100),,51.06,-1.31,olde1238,,10,2.302585092994046
late1252,Late Latin,,,,late1252,,2,0.6931471805599453
kato1244,Kato,,39.7002,-123.432,kato1244,,1,0.0
daas1238,Daasanach,,4.58879,35.9888,daas1238,,1,0.0
vlaa1240,Western Flemish,,51.0754,3.11345,vlaa1240,,40,3.6888794541139363
neap1235,Continental Southern Italian,,39.2288,16.4225,neap1235,,87,4.465908118654584
sard1257,Sardinian,,,,sard1257,,5,1.6094379124341003
cors1241,Corsican,,41.7,9.25537,cors1241,,1,0.0
faro1244,Faroese,,62.0732,-6.88497,faro1244,,29,3.367295829986474
alor1252,Alor Malay,,,,alor1252,,17,2.833213344056216
nucl1417,Igbo,,4.62705,7.23441,nucl1417,,104,4.6443908991413725
isla1273,Island,,,,isla1273,,1,0.0
bava1246,Bavarian,,47.9232,13.246,bava1246,,22,3.091042453358316
swab1242,Swabian,,48.386796,9.987111,swab1242,,4,1.3862943611198906
latv1249,Latvian,,56.826108,24.309118,latv1249,,37,3.6109179126442243
chol1282,Chol,,17.4897,-92.4698,chol1282,,79,4.3694478524670215
nene1249,Tundra Nenets,,66.1775,71.0234,nene1249,,33,3.4965075614664802
huic1243,Huichol,,21.954,-104.062,huic1243,,1,0.0
kumi1248,Tipai,,32.331,-116.604,kumi1248,,22,3.091042453358316
cupe1243,Cupeño,,33.3148,-116.515,cupe1243,,1,0.0
cash1251,Cashibo-Cacataibo,,-8.70232,-75.4206,cash1251,,2,0.6931471805599453
mpar1238,Mparntwe Arrernte,,,,mpar1238,,4,1.3862943611198906
udmu1245,Udmurt,,56.12921,52.63548,udmu1245,,6,1.791759469228055
bash1264,Bashkir,,53.59671,56.55937,bash1264,,7,1.9459101490553132
amel1241,Amele,,-5.29126,145.687,amel1241,,4,1.3862943611198906
mann1248,Mann,,7.04616,-8.86405,mann1248,,3,1.0986122886681098
moro1292,Moroccan Arabic,,32.5,-7.5,moro1292,,9,2.1972245773362196
sout3269,South Baffin Inuktitut,,,,sout3269,,7,1.9459101490553132
east2534,Eastern Canadian Inuktitut,,62.1735,-75.6139,east2534,,12,2.4849066497880004
buli1254,Buli (Ghana),,10.5763,-1.26748,buli1254,,131,4.875197323201151
tlin1245,Tlingit,,59.4447,-135.29,tlin1245,,10,2.302585092994046
boro1283,Boro,,7.496728,0.362291,boro1283,,22,3.091042453358316
urii1240,Uri,,-6.41993,146.608,urii1240,,1,0.0
cant1236,Cantonese,,23.0118,113.2021,cant1236,,18,2.8903717578961645
daoo1238,Dao,,-3.28643,136.421,daoo1238,,1,0.0
lobo1240,Lobo,,,,lobo1240,,1,0.0
kiny1244,Kinyarwanda,,-1.56771,29.6441,kiny1244,,78,4.356708826689592
sout2739,Southern Tujia,,28.2368,110.022,sout2739,,2,0.6931471805599453
oldc1244,Old Chinese,,36.12,114.32,oldc1244,,5,1.6094379124341003
